Search_Query,Place_Name,Nickname,Date,Review_Content
후우,,쫑쫑이의 이쫑저쫑,2.18.수,"제주 한경면에 위치한 드립커피, 수플레 맛집입니다. 내부 인테리어도 아주 아늑하고 좋은 곳이었는데, 커피도 필터커피를 취급하고, 정말 맛있는 수플레 케이크도 판매하더라고요! 수플레는 너무너무 부드럽고 생과일, 카라멜코팅이 되어 있는 바나나와 아주 잘 어울렸습니다 :)"
후우,,M23이지,2.14.토,고산에 이런 곳이 !! 생겼다니요 보드러운 수플레도 수프도 비주얼처럼 맛도 근사했어요 아이없이 조용히 다시오고싶내요
후우,,어쩌다장미,1.23.금,"새해 첫날, 떠오르는 분위기와 음식이 제주 서쪽 신도리에 있는 수플레와 찐커피라니~🍮☕️ 사진만 봐도 그때 그 맛, 그 부드러움과 달콤함이 잊혀지지가 않아요. 글구 대접 받는 느낌으로 커피를 직접 내려 갖다주시니반할 수밖에요. 사장님 부부께서 매력적인 마술을 부리고 계신거 같았..🤭🤗  제주도민 추천이 정말 찐인거 아시죠? #제주카페 디따 많아도 커피도 찐! 특히 수플레와 소금빵🥐은 기본으로 테이블에 다 있더라구요~ #후우 카페만의 소금빵을 맛보진 못했지만, 시그니처예요. 없어서 못먹었으니까ㅠㅠ  참고로 사진 찍으면 잘 나오기로 유명한데요~ 사람이 꽉차 테이블 만석이라 구석구석 공간을 담지 못했어요. 야외공간도 있고(얼음날 빼고 환상), 실내 단체공간도 있어요. 저는 문앞에서만 남겼지만 담번엔 꼭 도전!^^v"
후우,,trip1108,1.17.토,"오후에 방문해 담백하고 고소한 소금빵과 크로와상에 고소 블렌드 원두로 에어로프레소 드립 주문했습니다. 마셔본 에어로프레소 드립 중 제일 맛있었고, 따듯하게 데워주신 빵은 아무 것도 추가하지 않아도 맛있었습니다. 편안하고 차분한 분위기도 좋았고, 혼자라 주문 못했지만 다음에는 수플레와 잠봉샌드위치도 꼭 먹어보고 싶습니다."
곡간,,치즈버찌,4.6.월,곡간 오고싶어서 제주도 왔습니다. 작년에 방문했을때 맛있는 음료와 멋진 내부에 반했던 기억에 또 방문했는데 여전히 너무 좋네요 귀엽고 시크한 고양이 재팥이도 보러 다들 놀러오세요 ㅎㅎ 제주여행 필수코스..
곡간,,가영4247,3.19.목,"정말 애정하는 공간. 맛있는 콩 디저트에 매번 깜짝 놀라고, 커피와 차도 정성들여 셀렉하신 게 느껴진다. 블루베리 크럼블 디저트에 엑설런트 아이스크림 하나 까서 올려주셨는데 그 부분에서 살짝 정신 부여잡음,, 은은한 단맛에 고소하고 바삭한 크럼블,, 블루베리 상큼하고 아이스크림 시원하고 극락 오가는 맛;; 군데군데 마음 가득 쓰신 것이 느껴져서 사장님과 대화하지 않아도 공간으로 환대받는 느낌. 아무튼 좋다. 왜 우리집이 곡간 앞이 아닌가,,, ㅠ 우리 집을 옮기고 싶을 정도."
곡간,,러블리꽁2881,3.15.일,동네 산책하면서 커피 한 잔💖 행복 그 자체!! 커피도 넘 맛있고 분위기도 아늑하고 사장님도 친절^^ 주말 아침 행복 스타트~~💖
곡간,,또이7670,3.11.수,자주 가는 신창면 카페. 곡파모는 처음 해봤는데 시간 가는 줄 모르고 편하게 떠들다 왔네요. 카페 상시 메뉴도 다 맛있는데 곡파모 메뉴는 곡파모에서만 먹을 수 있으니 더 맛있습니다. 아침부터 재팥씨와 함께 해서 기분이 더 좋았다네요 ㅎㅎ
곡간,,이두시기,3.4.수,"우연히 탐색한 동네에서 만난 곡간, 이번에는 곡파모(곡간파인모닝) 다녀왔어요. 인사이트 넘치는 사장님과의 대화로 감사한 인연들로 마음 가득채워 나섭니다. 또 봬요🙏🏻"
곡간,,app****,3.1.일,비건지향하는 저는 비건카페 비건음식점에 관심이 많아요 후무스를 좋아해서 찜콩해 두었는데 마침 지나가는 길이라 들렀어요 사장님 친절하시고 여행중이라 하나만 골랐는데 사장님께서 선물까지 챙겨 주셔서 감동 받았어요 후무스가 냉동 상태라 숙소와서 살포시 맛만 보았는데 깔끔하고 담백하고 맛있어요
곡간,,레이첼78,2.19.목,카페가 아늑하고 귀여운 고양이도 있고 음료도 맛있어요 잘 쉬다 갑니다
곡간,,illiiiliillli,2.16.월,친절하고 후무스와 커피가 맛난곳 고양이 애교많음ㅎㅎㅎㅎ 리뷰이벵으로 받은 콩낭시에도 맛나요 여행 아침에 간단하게 들려서 커피한잔하기 좋은곳입니다
서리논식당,,바기슬슬,4.8.수,"숙소 근처 오가며 보다가 한번 가봐야겠다 싶어서 오픈런 했습니다. 일단 다 필요없이 동네 식당인데, 정말 청결하고 정갈하고 깔끔합니다! 2명이서 몸국과 서리논밥상을 시켰는데 음식사진이 없는 이유는 맛보자마자 이거다 싶어서 순식간에 해치웠기 때문이에요😅 웃으며 맞이해준 사장님과 정말정말 깨끗한 주방과 말한마디 없이 순삭하게 만든 반찬과 음식들, 그리고 유채꽃이 넘실대던 창밖풍경까지💗💗 여행 끝나도 계속 생각날거 같아요! 자진해서 솔직한 리뷰 남겨봅니다"
서리논식당,,hea1****,4.4.토,몸국이 맛있다고해서 일부러 먹으러 왔어요. 진짜 맛있네요.
서리논식당,,마거리트10,3.26.목,옥돔구이도 나오고 인당 만원에 반찬 고기까지 고루나오고 국도 주시고 구성이 아주좋습니다 친절하시고 음식도 빨리나왔어요~ 제주도 현지분들이 많이 찾으시는식당인것 같았어요. 아이랑갔는데 아이먹으라고 귤도 주셔서 감사했습니다~~
서리논식당,,Poko7,3.25.수,몸국 고소하니 맛있어요 잘먹었네요.
